rank,name,artist,track_id,url
22,intro (end of the world) - extended,Ariana Grande,5BBkvXH2jYROUzKIB7WX7S,https://open.spotify.com/track/5BBkvXH2jYROUzKIB7WX7S
23,Spring Into Summer,Lizzy McAlpine,6oCXDaFZYL7sHnowv6pdXb,https://open.spotify.com/track/6oCXDaFZYL7sHnowv6pdXb
24,WHAT TO DO? (feat. Don Toliver),JACKBOYS,4AO1XhrgJczQ9bNVxdfKQe,https://open.spotify.com/track/4AO1XhrgJczQ9bNVxdfKQe
25,Don’t Smile,Sabrina Carpenter,09LrGvT9KsACH66RHYMDyR,https://open.spotify.com/track/09LrGvT9KsACH66RHYMDyR
26,Nobody Has To Know (feat. Davido),Chris Brown,4U94pbUhXrzFNVcyrFeMso,https://open.spotify.com/track/4U94pbUhXrzFNVcyrFeMso
27,GET OFF ME (with Travis Scott),Kid Cudi,2Adxpr1j5lSihOCsmIfflJ,https://open.spotify.com/track/2Adxpr1j5lSihOCsmIfflJ
28,west side,Ariana Grande,1whfVLMKWqAX3uk97VXsNN,https://open.spotify.com/track/1whfVLMKWqAX3uk97VXsNN
29,Type Shit,Future,28drn6tQo95MRvO0jQEo5C,https://open.spotify.com/track/28drn6tQo95MRvO0jQEo5C
30,prove it,21 Savage,5wttBUDyaHAR5q9fYnN3YF,https://open.spotify.com/track/5wttBUDyaHAR5q9fYnN3YF
31,Guess featuring billie eilish,Charli xcx,3WOhcATHxK2SLNeP5W3v1v,https://open.spotify.com/track/3WOhcATHxK2SLNeP5W3v1v
32,Someone Else - Lost Tapes 2015,Tory Lanez,1kbWSEbOVClaxDd6g4G66w,https://open.spotify.com/track/1kbWSEbOVClaxDd6g4G66w
33,You (feat. Travis Scott),Don Toliver,4qS2KPWvsQzLvRa9oCHw41,https://open.spotify.com/track/4qS2KPWvsQzLvRa9oCHw41
34,Yeah Glo!,GloRilla,5A8xI7PN4WDe9e61xEdt94,https://open.spotify.com/track/5A8xI7PN4WDe9e61xEdt94
35,My Love Mine All Mine,Mitski,3vkCueOmm7xQDoJ17W1Pm3,https://open.spotify.com/track/3vkCueOmm7xQDoJ17W1Pm3
36,"To Summer, From Cole - Audio Hug",Summer Walker,2f86Ae3R4OKAu1lEIqouih,https://open.spotify.com/track/2f86Ae3R4OKAu1lEIqouih
37,You Got It,Vedo,4lsHZ92XCFOQfzJFBTluk8,https://open.spotify.com/track/4lsHZ92XCFOQfzJFBTluk8
38,At The Club,Jacquees,4gzLb1d6pbPcNytb2J0CHa,https://open.spotify.com/track/4gzLb1d6pbPcNytb2J0CHa
39,don't wanna break up again,Ariana Grande,0o3ua5ufFK7nfRzbDUNoGA,https://open.spotify.com/track/0o3ua5ufFK7nfRzbDUNoGA
40,Nice to meet you (feat. Central Cee),PinkPantheress,4Ovbv1o91fNP8tYLJmboX1,https://open.spotify.com/track/4Ovbv1o91fNP8tYLJmboX1
41,DEVIL IS A LIE,Tommy Richman,6jlG8gBPNAgBgoivw2Ig09,https://open.spotify.com/track/6jlG8gBPNAgBgoivw2Ig09
42,Silk Chiffon,MUNA,5ECxiK4Vigo1yRRmAoZc1f,https://open.spotify.com/track/5ECxiK4Vigo1yRRmAoZc1f
43,Just Might (with PARTYNEXTDOOR),Summer Walker,43IMaycr34ZR5kS8mlL5hH,https://open.spotify.com/track/43IMaycr34ZR5kS8mlL5hH
44,Timeless (feat. DJ SPINKING),A Boogie Wit da Hoodie,0q5DrtpnnGpOvBy5nnPMbe,https://open.spotify.com/track/0q5DrtpnnGpOvBy5nnPMbe
45,Lucid Dream,aespa,285Bh5EkbxGGE76ge8JDbH,https://open.spotify.com/track/285Bh5EkbxGGE76ge8JDbH
46,2AM,SZA,3vZGtceCbJVh5aDT4XhE0p,https://open.spotify.com/track/3vZGtceCbJVh5aDT4XhE0p
47,How Does It Feel To Be Forgotten,Selena Gomez,7sFMOSnRBa6td4lZa1oiTI,https://open.spotify.com/track/7sFMOSnRBa6td4lZa1oiTI
48,"I Knew It, I Know You",Gracie Abrams,3JGtEMktx8XnEVjVUYgU0M,https://open.spotify.com/track/3JGtEMktx8XnEVjVUYgU0M
49,Move (feat. Camila Cabello & Malachiii),Adam Port,0scd3nh27AYTNXo0KHRmsG,https://open.spotify.com/track/0scd3nh27AYTNXo0KHRmsG
50,Wild Side (feat. Cardi B),Normani,2vXgyN14LX2zl7JEASw242,https://open.spotify.com/track/2vXgyN14LX2zl7JEASw242
